Operateur;X;Y;C2G;C3G;C4G
34001;-61.06413828;14.61727643;1;1;1
34001;-61.06772201;14.61393537;1;1;1
34001;-61.08654529;14.60510775;1;1;1
34001;-60.90113895;14.45913179;1;1;1
34001;-61.01486675;14.4918378;1;1;1
34001;-60.91193009;14.75525568;1;1;1
34001;-61.12445076;14.67339388;1;0;0
34001;-60.94831093;14.6180929;1;0;1
34001;-60.96473241;14.54788742;1;1;1
34001;-60.95272691;14.6562565;1;1;1
34001;-61.06874708;14.51540384;1;0;1
34001;-60.889;14.5939;1;0;0
34001;-60.88191209;14.56965265;1;1;1
34001;-61.17684406;14.74751139;1;1;1
34001;-61.18120513;14.70317185;1;1;1
34001;-61.16631187;14.67427038;1;1;1
34001;-61.04071554;14.61813803;1;1;1
34001;-61.04455725;14.59825294;1;1;1
34001;-61.01310855;14.61990143;1;1;1
34001;-60.98859803;14.62711022;1;1;1
34001;-60.97983167;14.69752857;1;0;0
34001;-61.00288002;14.59744813;1;1;1
34001;-61.11847978;14.82272976;1;1;1
34001;-61.14316017;14.79902676;1;0;1
34001;-61.04839493;14.83258358;1;1;1
34001;-61.07621283;14.60657713;1;1;1
34001;-61.05316261;14.61583851;1;1;1
34001;-61.07336621;14.60310148;1;1;1
34001;-61.07145467;14.61372228;1;1;1
34001;-61.08232812;14.62374372;1;1;1
34001;-61.09414507;14.61919561;1;1;1
34001;-61.03227508;14.62071471;1;1;1
34001;-60.9982653;14.61518376;1;1;1
34001;-60.96805548;14.57301989;1;1;1
34001;-60.97883056;14.52203889;1;1;1
34001;-61.03399395;14.53158039;1;0;0
34001;-60.86502534;14.47796356;1;1;1
34001;-60.83685704;14.55184592;1;1;1
34001;-60.92864192;14.59875282;1;1;1
34001;-60.94150445;14.70098679;1;1;1
34001;-60.99209263;14.77787979;1;1;1
34001;-61.15621903;14.66004697;1;1;0
34001;-61.13152531;14.63938036;1;1;1
34001;-61.06224802;14.60528671;1;1;1
34001;-61.05454935;14.6059004;1;1;1
34001;-61.10522243;14.6315765;1;1;1
34001;-61.06876615;14.63038235;1;1;1
34001;-61.0228523;14.63658489;1;1;1
34001;-60.93265462;14.56550742;1;1;1
34001;-60.91613056;14.53229167;1;0;0
34001;-60.87719657;14.39738054;1;1;1
34001;-60.8471167;14.512625;1;1;0
34001;-61.0232131;14.76156614;1;1;1
34001;-61.03117685;14.81558339;1;1;1
34001;-61.21384748;14.78900246;1;1;1
34001;-61.04154246;14.67447178;1;1;1
34001;-61.11948203;14.8679686;1;1;1
34001;-60.92736638;14.46887053;1;1;1
34001;-61.00629774;14.80478744;1;1;1
34001;-60.84260225;14.44712682;1;1;1
34001;-61.14735017;14.70457569;1;1;1
34001;-61.00468385;14.69552975;1;1;1
34001;-60.97742096;14.74452452;1;1;1
34001;-61.00850503;14.60655102;1;1;1
34001;-61.01300166;14.61424351;1;1;1
34001;-61.04800654;14.61013827;1;1;1
34001;-61.07804386;14.60945698;1;1;1
34001;-61.06223111;14.60403947;1;1;1
34001;-61.07987164;14.60416727;1;1;1
34001;-61.09242073;14.60821946;1;1;1
34001;-60.9869183;14.57713215;1;1;1
34001;-60.9012317;14.48872649;1;1;1
34001;-61.0707818;14.61000249;1;1;1
34001;-61.04055105;14.63876783;1;1;1
34001;-61.04818999;14.62194203;1;1;1
34001;-61.01754306;14.66449041;1;1;1
34001;-61.03836199;14.61667233;1;1;1
34001;-60.9956888;14.59637437;1;1;1
34001;-60.96055956;14.58702446;1;1;1
34001;-61.17307466;14.87043488;1;1;1
34001;-61.04050465;14.62412771;1;1;1
34001;-60.97312476;14.65463695;1;1;1
34001;-61.00261691;14.61630549;1;1;1
34001;-60.8958165;14.52395556;1;1;1
34001;-60.94263021;14.67989689;1;1;1
34001;-61.1449447;14.73650329;1;1;1
34001;-60.87907091;14.43444588;1;1;1
34001;-60.83955915;14.54586199;1;1;1
34001;-61.14705249;14.87535032;1;1;1
34001;-61.0551581;14.53014842;1;1;1
34001;-61.04848275;14.47142471;1;1;1
34001;-60.89215306;14.54150711;1;0;0
34001;-61.07448758;14.47801022;1;1;1
34001;-61.07942461;14.49169671;1;1;1
34001;-61.08701526;14.6162182;1;1;1
34001;-61.01635598;14.63032137;1;1;1
34001;-60.90239439;14.61601245;1;1;1
34001;-60.87424029;14.42563726;1;1;1
34001;-60.96480583;14.73109412;1;1;1
34001;-60.97189965;14.55545001;1;1;1
34001;-60.83574341;14.46695206;1;1;1
34001;-61.05954825;14.61154497;1;1;1
34001;-60.99378771;14.49455048;1;1;1
34001;-60.93373987;14.50265967;1;1;1
34001;-61.05435478;14.63221437;1;1;1
34001;-61.07239304;14.63912408;1;1;1
34001;-61.06691259;14.81340107;1;1;0
34001;-60.866;14.417;1;0;0
34001;-61.0107464;14.6410453;1;1;1
34001;-60.93979983;14.65500372;1;1;0
34001;-61.03356645;14.65285157;1;1;1
34001;-60.94120507;14.47367296;1;1;1
34001;-60.98298709;14.76826687;1;1;1
34001;-61.0869924;14.68944545;1;1;1
34001;-61.0869;14.6636;1;1;0
34001;-61.01505181;14.74500424;1;1;0
34001;-61.02049007;14.72892033;1;1;1
34001;-61.0287467;14.7812683;1;1;1
34001;-60.92556095;14.53032926;1;1;1
34001;-60.95194729;14.50972315;1;1;1
34001;-60.95457163;14.55819084;1;1;1
34001;-61.0887802;14.82492501;1;1;1
34001;-61.22535257;14.82254843;1;1;0
34001;-60.88904891;14.55479848;1;1;1
34001;-61.08659667;14.70290739;1;1;1
34001;-61.16004314;14.69230461;1;1;1
34001;-61.05908048;14.66894382;1;1;1
34001;-61.06819066;14.53354571;1;1;1
34001;-61.01774948;14.48056606;1;1;1
34001;-60.85473348;14.58350093;1;1;1
34001;-60.91575767;14.70721767;1;1;1
34001;-61.01656019;14.67055471;1;1;1
34001;-61.05495039;14.64150932;1;1;1
34001;-61.01028428;14.71269334;1;1;1
34001;-61.02917894;14.63071038;1;1;1
34001;-61.11305545;14.6283867;1;1;1
34001;-60.95366412;14.63327603;1;1;1
34001;-61.07138178;14.60505516;1;1;1
34001;-61.0667262;14.60682402;1;1;1
34001;-61.05221915;14.61126697;1;1;1
34001;-61.05231835;14.61896727;1;1;1
34001;-61.05830938;14.62579499;1;1;1
34001;-61.08332317;14.60853346;1;1;1
34001;-61.07815256;14.6204379;1;1;1
34001;-61.00583972;14.62939114;1;1;0
34001;-60.9899478;14.61136198;1;1;1
34001;-61.09387741;14.61472004;1;1;1
34001;-61.1023893;14.62211863;1;1;1
34001;-61.0856;14.6526;1;0;0
34001;-60.94933561;14.6924897;1;1;1
34001;-60.96285691;14.7409809;1;1;1
34001;-61.06699634;14.60458508;0;1;1
34001;-60.99166525;14.63170923;0;1;1
34001;-61.0586027;14.73666243;1;0;0
34001;-61.11612076;14.63897603;1;1;1
34001;-61.02906305;14.48285716;1;1;1
34001;-60.88891803;14.59386968;1;0;0
34001;-61.05201604;14.55416071;1;1;1
34001;-61.06940733;14.60586119;1;1;1
34001;-61.03651921;14.53766534;1;1;1
34001;-61.03225079;14.63802005;1;1;0
34001;-61.22460467;14.80259672;1;1;1
34001;-61.03108;14.6142252;1;1;1
34001;-61.13569017;14.77966299;1;1;1
34001;-60.91446753;14.63566622;1;1;1
34001;-60.9586;14.4814;1;1;1
34001;-60.94699451;14.56791999;1;1;1
34001;-61.03867313;14.72760213;1;1;0
34001;-60.98719068;14.51329038;1;1;1
34001;-60.83333498;14.48388133;1;1;1
34001;-61.13555696;14.85277274;1;1;0
34001;-60.9396;14.6882;1;1;1
34001;-60.8802;14.4742;1;1;1
34001;-61.08703567;14.66417819;1;1;1
34001;-61.05462592;14.59930406;0;1;1
34001;-61.08944388;14.61333721;0;1;1
34001;-61.09732021;14.61691708;0;1;1
34001;-61.06957793;14.63519677;0;1;1
34001;-60.90971297;14.62420178;0;1;1
34001;-61.0574501;14.65382044;0;1;0
34001;-61.0036;14.6077;0;1;1
34001;-60.8698;14.4771;0;1;1
34001;-60.8788;14.6011;1;1;1
34001;-60.9416;14.6737;1;1;1
34001;-61.0201;14.6191;0;1;1
34002;-61.0558374;14.6219427;1;1;1
34002;-61.0927835;14.61027385;1;1;1
34002;-61.0280503;14.48305651;1;1;1
34002;-60.9622224;14.67027415;1;1;1
34002;-61.1591617;14.69333691;1;1;1
34002;-60.9158349;14.53277312;1;1;1
34002;-60.9391623;14.6774986;1;1;1
34002;-60.9916519;14.77833681;1;1;1
34002;-61.0077776;14.80444781;1;1;1
34002;-61.1161129;14.8686097;1;1;1
34002;-60.964434;14.54804748;1;1;1
34002;-60.9125063;14.63499803;1;1;1
34002;-61.0349962;14.61527941;1;1;1
34002;-61.0069424;14.48805656;1;1;1
34002;-60.8963896;14.52415949;1;1;1
34002;-60.9749999;14.55833242;1;1;1
34002;-60.9783348;14.74611389;1;1;1
34002;-61.1491742;14.85972403;1;1;1
34002;-61.1444511;14.73667103;1;1;1
34002;-61.0847177;14.65638722;1;1;1
34002;-61.009997;14.74638857;1;1;1
34002;-61.0588868;14.67722002;1;1;1
34002;-61.0744432;14.47777488;1;1;1
34002;-61.0394444;14.539443;1;1;1
34002;-61.0227811;14.71167072;1;1;1
34002;-61.006943;14.5294451;1;1;1
34002;-61.0258316;14.69250266;1;1;1
34002;-60.8830523;14.44777394;1;1;1
34002;-60.8891644;14.59527251;1;1;1
34002;-60.8822176;14.56971866;1;1;1
34002;-60.9352777;14.46778343;1;1;1
34002;-60.9386136;14.56222558;1;1;1
34002;-61.1774852;14.70389274;1;1;1
34002;-61.1358335;14.78027867;1;1;1
34002;-61.0322133;14.63805587;1;1;1
34002;-61.1236098;14.63805146;1;1;1
34002;-61.0547243;14.64082965;1;1;1
34002;-61.1052773;14.63166731;1;1;1
34002;-61.0783339;14.62306014;1;1;1
34002;-61.1513788;14.80582559;1;1;1
34002;-61.0649994;14.52499742;1;1;1
34002;-60.8749951;14.47695147;1;1;1
34002;-61.0952787;14.61472245;1;1;1
34002;-61.0594358;14.61166151;1;1;1
34002;-61.0552745;14.62999896;1;1;1
34002;-60.9486103;14.60082689;1;1;1
34002;-61.0655468;14.61221836;1;1;1
34002;-60.8474981;14.51250199;1;1;1
34002;-60.8938885;14.48750413;1;1;1
34002;-60.947776;14.65166753;1;1;1
34002;-60.9391623;14.70027922;1;1;1
34002;-61.0022225;14.5983281;1;1;1
34002;-60.9794445;14.62638939;1;1;1
34002;-60.883336;14.41972803;1;1;1
34002;-61.1347155;14.63861066;1;1;1
34002;-61.0722255;14.63916788;1;1;1
34002;-60.8927799;14.54778387;1;1;1
34002;-61.0316713;14.6686138;1;1;1
34002;-61.2138948;14.78888534;1;1;1
34002;-60.9927645;14.61388939;1;1;1
34002;-61.0430507;14.60805439;1;1;1
34002;-61.0527728;14.5302732;1;1;1
34002;-60.9608336;14.73389658;1;1;1
34002;-61.1660968;14.67444942;1;1;1
34002;-61.0777655;14.60944564;1;1;1
34002;-60.8430549;14.5402829;1;1;1
34002;-60.8424993;14.44722526;1;1;1
34002;-61.1727669;14.87055894;1;1;1
34002;-60.9980542;14.61388969;1;1;1
34002;-60.9141669;14.69777858;1;1;1
34002;-61.1183213;14.82278268;1;1;1
34002;-61.03972;14.63304953;1;1;1
34002;-60.9602793;14.58722081;1;1;1
34002;-61.0152732;14.62583894;1;1;1
34002;-61.0866644;14.60528042;1;1;1
34002;-61.0869419;14.61610915;1;1;1
34002;-61.0522167;14.60416391;1;1;1
34002;-61.0736089;14.48416634;1;1;1
34002;-61.0333388;14.53222554;1;1;1
34002;-60.9574981;14.48194795;1;1;1
34002;-60.9038914;14.61471566;1;1;1
34002;-61.0016653;14.61582742;1;1;1
34002;-61.0044435;14.70971522;1;1;1
34002;-60.9122204;14.75499625;1;1;1
34002;-60.9805576;14.69833914;1;1;1
34002;-60.9655533;14.57471506;1;1;1
34002;-61.0408252;14.61832872;1;1;1
34002;-60.8702799;14.4550052;1;1;1
34002;-61.0199919;14.61917381;1;1;1
34002;-60.9338778;14.50277836;1;1;1
34002;-60.9750025;14.65027962;1;1;1
34002;-61.0708375;14.60999391;1;1;1
34002;-60.988597;14.62721865;1;1;1
34002;-60.9844382;14.57027906;1;1;1
34002;-60.9033346;14.57749947;1;1;1
34002;-61.0697263;14.6277786;1;1;1
34002;-61.0111046;14.65277802;1;1;1
34002;-61.0724939;14.60416064;1;1;1
34002;-60.8558365;14.58361045;1;1;1
34002;-61.1736146;14.74500061;1;1;1
34002;-61.0408334;14.6727759;1;1;1
34002;-60.9011081;14.45944778;1;1;1
34002;-60.9483339;14.61860817;1;1;1
34002;-61.0513884;14.8261115;1;1;1
34002;-61.1472096;14.70471916;1;1;1
34002;-61.0130555;14.61444277;1;1;1
34002;-61.0041659;14.60610727;1;1;1
34002;-61.0505539;14.55583844;1;1;1
34002;-60.9847227;14.51027804;1;1;1
34002;-61.0308216;14.81583337;1;1;1
34002;-61.1561126;14.66055222;1;1;1
34002;-60.9788843;14.52193932;1;1;1
34002;-61.0688842;14.60305538;1;1;1
34002;-60.9808331;14.59222501;1;1;1
34002;-61.0374966;14.78528292;1;1;1
34002;-61.0224878;14.76166837;1;1;1
34002;-61.1116649;14.63361701;1;1;1
34002;-60.8694401;14.53416304;1;1;1
34002;-61.1130538;14.84638957;1;1;1
34002;-61.1349994;14.85277725;1;1;1
34002;-60.9486078;14.66500357;1;1;1
34002;-61.1069444;14.75389013;1;1;1
34002;-61.0933341;14.81832964;1;1;1
34002;-61.0536086;14.61472165;1;1;1
34002;-61.0213882;14.7969472;1;1;1
34002;-60.8333348;14.48389035;1;1;1
34002;-61.0163854;14.67861397;1;1;1
34002;-60.9561098;14.64777392;1;1;1
34002;-61.1530597;14.76194497;1;1;1
34002;-61.0824987;14.62332942;1;1;1
34002;-60.9900008;14.49278304;1;1;1
34002;-61.0386115;14.72722205;1;1;1
34002;-61.0874868;14.68916937;1;1;1
34020;-60.9494445748;14.6919447688;1;1;1
34020;-60.9813821187;14.6771983797;1;1;1
34020;-61.0294445177;14.7788892465;1;1;1
34020;-61.0666667047;14.8136114635;1;1;1
34020;-61.1069445047;14.7538892392;1;0;0
34020;-61.0580556243;14.6330559036;1;1;1
34020;-60.8558334487;14.5838892338;1;1;1
34020;-61.0472223339;14.4894448002;1;0;0
34020;-60.869166778;14.534167016;1;1;1
34020;-61.0552778471;14.6233336819;1;1;1
34020;-61.0583334021;14.6147225738;1;1;1
34020;-61.0794445091;14.6036114607;1;1;1
34020;-61.0519445148;14.5541670197;1;1;1
34020;-61.0601111842;14.6242225657;1;1;1
34020;-60.8525001164;14.564722572;1;1;1
34020;-60.9747223079;14.6383336825;1;1;1
34020;-60.9561112009;14.6477781273;1;1;1
34020;-60.9888889715;14.6575003538;1;1;1
34020;-61.0166667433;14.6788892425;1;1;1
34020;-61.0386111829;14.7272225718;1;1;1
34020;-61.0933333946;14.8183336925;1;1;1
34020;-61.1336111665;14.7950003527;1;1;1
34020;-61.1130556142;14.8461114707;1;0;0
34020;-61.1355556106;14.8527781329;1;1;1
34020;-61.1530556077;14.7616670205;1;1;1
34020;-61.1397222774;14.6508336811;1;1;1
34020;-61.0116667453;14.525555907;1;1;1
34020;-60.9900000826;14.4927781228;1;1;1
34020;-61.0011111914;14.6155559027;1;1;1
34020;-60.8366668393;14.5519435591;1;1;1
34020;-60.8366668393;14.5519435591;1;1;1
34020;-61.0506871029;14.55585718;1;1;1
34020;-61.1775000863;14.703889246;1;1;1
34020;-61.1702778276;14.7427781308;1;1;1
34020;-61.0505556248;14.8275003564;1;1;1
34020;-61.0302778507;14.8158336855;1;1;1
34020;-61.1522222751;14.8061114667;1;1;1
34020;-60.9919445255;14.7744447955;1;1;1
34020;-60.9480556467;14.7383336825;1;1;1
34020;-61.0102778552;14.7127781328;1;1;1
34020;-60.9796348987;14.697725659;1;1;1
34020;-60.9394445372;14.7022225755;1;1;1
34020;-60.9483334242;14.6650003507;1;1;1
34020;-60.9408334263;14.6069447959;1;1;1
34020;-60.9144445434;14.6355559067;1;1;1
34020;-60.8888889951;14.5936114563;1;1;1
34020;-61.0258334086;14.6275003474;1;1;1
34020;-60.9886111937;14.626667017;1;1;1
34020;-61.0105556334;14.6522225709;1;1;1
34020;-60.9866667495;14.5775003467;1;1;0
34020;-60.9652778655;14.5775003519;1;1;1
34020;-60.9866667506;14.5108336808;1;1;1
34020;-61.0336111848;14.532222574;1;1;1
34020;-61.0736111778;14.4841670137;1;1;1
34020;-61.0069445241;14.4877781249;1;1;0
34020;-60.8425001194;14.4472225658;1;1;1
34020;-60.9352778732;14.469167016;1;1;1
34020;-60.8697223339;14.4769447911;1;1;1
34020;-60.9008334372;14.4591670094;1;1;1
34020;-60.8772223329;14.4113892308;1;1;1
34020;-60.9016667702;14.4913892365;1;1;1
34020;-60.947249031;14.5634762862;1;1;1
34020;-60.8822223302;14.5700003475;1;1;1
34020;-61.0825000644;14.6233336798;1;1;1
34020;-61.086666731;14.6052781235;1;1;1
34020;-61.072500066;14.604167021;1;1;1
34020;-61.061388957;14.605833686;1;1;1
34020;-61.0394445166;14.6333336826;1;1;1
34020;-61.0480556267;14.6100003456;1;1;1
34020;-61.0402538055;14.6210445428;1;1;1
34020;-61.0127853817;14.6197179329;1;1;1
34020;-61.0775000652;14.6094447925;1;1;1
34020;-61.031666741;14.6141670156;1;1;1
34020;-61.1038889497;14.6297225742;1;1;1
34020;-61.1344445007;14.6380559022;1;1;1
34020;-60.9986111921;14.5966670149;1;1;1
34020;-61.165833384;14.6741670162;1;1;1
34020;-61.1472222817;14.7047226081;1;1;1
34020;-61.213888933;14.7888892438;1;1;1
34020;-61.1491667197;14.8594448031;1;1;1
34020;-60.911944544;14.7555559069;1;1;1
34020;-61.1727778268;14.8705559149;1;1;1
34020;-61.1208333906;14.8675003585;1;1;1
34020;-61.0527778482;14.5302781221;1;1;1
34020;-60.8472223402;14.5125003481;1;1;1
34020;-61.0158334102;14.6300003491;1;1;1
34020;-61.0363889623;14.5375003504;1;1;1
34020;-60.9727778639;14.602222576;1;1;1
34020;-61.0202778543;14.6191670146;1;1;0
34020;-61.0669445126;14.5180559021;1;1;1
34020;-60.9586112006;14.5547225748;1;1;1
34020;-60.9897223043;14.6113892369;1;1;1
34020;-61.0130556331;14.6144447979;1;1;1
34020;-60.9680263253;14.5731642204;1;1;1
34020;-61.0725000665;14.6391670181;1;1;1
34020;-61.1183333912;14.8227781323;1;1;1
34020;-61.0213889637;14.796944794;1;1;1
34020;-61.022500075;14.7616670242;1;1;1
34020;-61.14463898;14.736528128;1;1;1
34020;-60.9730556411;14.6544447968;1;1;1
34020;-61.0708334003;14.61083368;1;1;1
34020;-60.8961112163;14.5241670102;1;1;1
34020;-60.9516667577;14.5094447924;1;1;1
34020;-61.0744445111;14.4777781257;1;1;1
34020;-61.2252778201;14.8225003556;1;0;0
34020;-61.1560278193;14.660333658;1;1;1
34020;-60.9575000901;14.482222571;1;1;1
34020;-61.0288889636;14.4827781286;1;1;1
34020;-61.0550000695;14.6413892426;1;1;1
34020;-61.1358333885;14.7802781348;1;1;1
34020;-60.8333334556;14.4838892344;1;1;1
34020;-60.9472223141;14.5677781233;1;1;1
34020;-61.086944508;14.6633336806;1;1;1
34020;-61.0875000634;14.6891670203;1;0;0
34020;-60.8825001086;14.4327781246;1;1;1
34020;-60.9797223059;14.7463892375;1;1;1
34020;-61.0688889559;14.6027781294;1;1;1
34020;-61.0533334029;14.6147225694;1;1;1
34020;-60.9161112104;14.5322225672;1;1;1
34020;-60.8913889945;14.547500347;1;1;1
34020;-60.9086112119;14.6230559052;1;1;1
34020;-61.0972222839;14.6169447972;1;1;0
34020;-61.1116699678;14.6333300316;1;1;1
34020;-60.9744399932;14.5556100011;1;1;1
34020;-60.9278834266;14.5993059078;1;1;1
